,Date,BTCinUSD,ActAddresses,Hashrate,BTCFees,Inflation,Velocity,VIX,SP500Lret,EURUSDLret,GoogleBitcoin,GoogleCrypto,WikiBitcoin,RealizedVariance,RealizedVolatility,DailyVolatility,WeeklyVolatility,MonthlyVolatility,SentimentFinBERT,IsNegativeFinBERT,IsPositiveFinBERT,SentimentGenAI,IsNegativeGenAI,IsPositiveGenAI,ECB,FED,MonetaryDecision,PressRelease,Speech,Statement,Covid
647,2019-10-10,-0.0023568995937072574,41766.0,16210392.0,-0.00983436900000001,0.6084550000000002,18.774806870000006,-1.0699996948242223,0.0066863503417019,0.00018675819481852031,-0.23999999999999977,0.43999999999999995,-9.0,0.0003570279114602,0.0188951822288187,0.0266453355829958,0.0228063195005424,0.0269855532648126,-0.25,1,1,-0.1,1,1,0,1,0,1,0,1,0
648,2019-10-11,-0.03417896126799101,-16636.0,-2867796.600000009,-0.165177452,-0.15257000000000032,2.1780872299999885,-1.9899997711181623,0.002426948261601,-0.00048427673044719997,-0.1200000000000001,-0.56,-252.0,0.0010247329980419,0.0320114510455553,0.0188951822288187,0.024334416475549,0.0273136145667295,0.09,0,1,0.2799999999999999,0,1,1,1,0,1,1,1,0
649,2019-10-12,0.004080530832436717,-148346.0,-14872622.129999995,-0.09055040400000003,-0.5836349999999997,54.67047023000001,-15.579999923706056,0.0,0.0003083951316197,-0.2999999999999998,-0.3600000000000001,477.0,0.0002024077928366,0.0142270092723883,0.0320114510455553,0.0239434597916362,0.0271508995223295,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
650,2019-10-13,-0.003912071368455699,-23067.0,5819721.700000003,-0.09679237299999993,0.22775999999999996,-38.52255787,0.0,0.0,0.0,-0.06000000000000005,-0.24,-144.0,0.0004352246457139,0.0208620383882762,0.0142270092723883,0.0226171273258142,0.0272525716807149,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
651,2019-10-14,0.006625706159934532,138760.0,-4526450.210000008,0.18509877400000002,-0.17775500000000033,-148.28031483,14.56999969482422,0.000114580594815,0.0001676419211409,0.3599999999999999,0.7600000000000002,466.0,0.0003398350251453,0.0184346148629527,0.0208620383882762,0.0215209096253492,0.0273849177827099,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
652,2019-10-15,-0.02249502950851289,18129.0,11639443.39,-0.036376687000000074,0.4558850000000003,164.30053111,-1.0299997329711932,0.0073944890049733,0.00011904606171019998,-0.3599999999999999,0.19999999999999973,199.0,0.0004548231594149,0.021326583397603,0.0184346148629527,0.02177174496837,0.0277656677863097,-0.05,1,0,0.1,0,1,0,1,0,1,0,1,0
653,2019-10-16,-0.019408081090769455,20924.0,-6466357.439999998,0.05866692800000006,-0.2536750000000003,-34.78226911,0.14000034332275213,3.348100498134652e-06,-0.00022046277075905,0.48,-0.16000000000000014,-380.0,0.0001887332178396,0.0137380208851057,0.021326583397603,0.0199278428686714,0.027545861404353,0.01,1,1,0.2333333333333333,0,1,1,1,0,1,1,1,0
654,2019-10-17,0.008538492384818455,-2549.0,4526450.210000008,-0.067283341,0.177025,-19.373705369999996,0.10999965667724787,-0.0009402234412999,-8.636775748049805e-06,-0.18000000000000016,-0.11999999999999966,580.0,0.0002147426895607,0.0146541014586627,0.0137380208851057,0.0193219741872205,0.0275439042760444,0.06,1,1,0.0666666666666666,1,1,1,1,0,1,1,1,0
655,2019-10-18,-0.014116832336581592,-57021.0,6466357.479999989,-0.03305415700000003,0.252945,25.087764180000008,0.46000003814697266,-0.0035567697579487,-5.758843634400017e-05,-0.17999999999999972,-0.32000000000000006,-542.0,0.0004796391733553,0.0219006660482126,0.0146541014586627,0.0178775763304573,0.0278757708811464,0.17,0,1,0.2333333333333332,0,1,1,1,0,1,1,1,0
656,2019-10-19,-0.0013646955980902127,-29936.0,-11639443.429999992,-0.10329792100000001,-0.45661499999999977,58.68693471999998,-14.25,0.0,0.0,0.17999999999999972,0.0,-1119.0,0.0004479945364507,0.0211658814239034,0.0219006660482126,0.0188688437806738,0.02711868953451,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
657,2019-10-20,0.03282421195081998,-97570.0,2586542.969999999,-0.033162462999999975,0.101105,-55.16323449999997,0.0,0.0,0.0,0.8000000000000003,0.5600000000000003,106.0,0.0003689287298696,0.0192075175353208,0.0211658814239034,0.018632483658823,0.027204138763772,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
