,Date,BTCLogRets,ActAddresses,Hashrate,BTCFees,Inflation,Velocity,VIX,SP500Lret,EURUSDLret,GoogleBitcoin,GoogleCrypto,WikiBitcoin,RealizedVariance,RealizedVolatility,DailyVolatility,WeeklyVolatility,MonthlyVolatility,SentimentFinBERT,IsNegativeFinBERT,IsPositiveFinBERT,SentimentGenAI,IsNegativeGenAI,IsPositiveGenAI,ECB,FED,MonetaryDecision,PressRelease,Speech,Statement,Covid,NegGenAICovidECB,NegFinBERTCovidECB,SentimentGenAIPositive,SentimentGenAINegative,SentimentFinBERTPositive,SentimentFinBERTNegative
1189,2021-04-06,-0.2981809728361536,-0.5076283201468132,-1.265420993391613,0.2704399771494,-0.3787566524804754,0.5394539039395231,0.01574726916969587,-0.056522867227181875,-0.8170724119770331,0.27904197487557114,0.12117030898899724,0.26409254088026707,-0.3410933272153305,-0.5958559282193842,-0.5930839472441036,-0.6123407694502753,-0.06045276332989625,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1190,2021-04-07,-0.7895716893695155,0.6835594553223074,1.3570105454196573,-1.2042906468114523,0.42088378863140574,0.7120577183541029,-0.08017482260326651,0.16372361018785744,-0.47252813276613975,-0.34746659591442314,-0.11099027918448089,-0.04930336882720206,-0.1546334017970584,-0.04325069709434566,-0.5980365253361031,-0.6256047874599218,-0.0658558311282406,1.2498790251670227,0,1,-0.5602905390111463,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0
1191,2021-04-08,0.6998965062068722,-1.5844628952731223,-2.419290896369841,0.8349731189587118,-0.7303309443910752,-0.14335254085230964,-0.01868625011160675,0.20997406244761244,1.2338732197099906,0.0005937211911292795,-0.16903042622785067,0.19031760921655022,-0.34156196028446995,-0.597646801547126,-0.04514636947307709,-0.6392912380273184,-0.0927535525371155,0.4515664911455497,1,1,0.08929610066399843,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
1192,2021-04-09,0.017281185496126054,1.3408889948764,1.8814968185252816,0.8747458035871688,0.5805857432850676,0.19959581654879927,-0.022785571676719296,0.9717684843408756,-0.7076230061299258,-0.4170786593355326,-0.05295013214111135,-0.36771597388780386,-0.37993766027816694,-0.7578477347951428,-0.5998283220429318,-0.6647003535807426,-0.155150152455775,-0.004612099723863552,0,1,1.3884693800142893,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
1193,2021-04-10,0.638848394699711,-0.6021860459495156,0.5178323844164043,-1.6304495284196183,0.1646899766870625,-0.0666440485971626,-1.369791832466377,-0.00725132849241794,-0.001410401617939652,0.41826610171779127,0.12117030898899724,-0.11983220349771535,-0.26953797933354323,-0.3533409871366662,-0.7601118553214227,-0.6541910035074343,-0.19180945171825478,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1194,2021-04-11,0.09434635759908969,-1.2396271744633107,-1.2654211484344313,-2.0433984936652485,-0.3787566524804754,0.8240723602426132,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,1.854805955953434,2.3003140116173286,0.32989977992430247,-0.3146001241624003,-0.49954539866649433,-0.3553965428998942,-0.6370869339823877,-0.23657934520843607,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1195,2021-04-12,-0.030551991328804196,0.8571338588406677,-0.11155109041338172,2.6535615224163625,-0.02622699564620549,-2.2321094877379464,1.384889240918447,0.09065712496392174,1.7077127954034608,0.21575828085637952,0.005090014902258181,0.049555039602178504,-0.30527165916910415,-0.46766352523275995,-0.501676337816092,-0.6144060284223346,-0.2705963829727408,-0.004612099723863552,0,1,3.3372292990397265,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
1196,2021-04-13,1.370909616864881,0.5307511964571344,-0.21644843806019914,1.3763283712743994,-0.058709403050988686,1.094114106119435,-0.022785571676719296,0.334903484014089,-0.6483810208582753,2.3674038775088833,1.1869984637854216,1.0502382126888337,-0.22371603248244415,-0.2210096129205662,-0.4697780260029811,-0.5454212029585674,-0.2687655313163548,0.22347719571084304,0,1,0.7388827403391439,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
1197,2021-04-14,-0.24060428233504394,-0.290786812651897,-0.7409347202859887,5.070266040053809,-0.21899718485840802,0.23864825502254244,0.02640519249273138,-0.5114446933839035,-2.4256882324947533,1.0764165195173816,2.073429800447793,1.5353821633094356,-0.024113365326274366,0.24529512623954466,-0.22299693827263922,-0.49231868481024793,-0.31189021906216363,0.9077450820149628,0,1,1.5740655627786169,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0
1198,2021-04-15,0.11930390980772128,2.2388930910848104,3.947099167137012,-0.9270130539637772,1.1878282969693437,0.0673678142678796,-0.03590308793882234,0.9015566032072573,2.903880693949365,-1.6131404762982489,-0.5858642095393237,-0.16321186331598087,-0.31734094653627865,-0.5090975008163783,0.24354822886054212,-0.4760225180706074,-0.3737931891395114,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
