Date,"Bitcoin"
2019-02-23,8345
2019-02-24,9156
2019-02-25,9391
2019-02-26,9378
2019-02-27,9019
2019-02-28,10235
2019-03-01,8776
2019-03-02,8412
2019-03-03,8300
2019-03-04,9423
2019-03-05,9665
2019-03-06,9860
2019-03-07,9305
2019-03-08,7887
2019-03-09,6979
2019-03-10,7442
2019-03-11,8181
2019-03-12,8042
2019-03-13,7677
2019-03-14,7760
2019-03-15,7172
2019-03-16,6406
2019-03-17,6720
2019-03-18,7867
2019-03-19,7869
2019-03-20,7336
2019-03-21,7123
2019-03-22,6734
2019-03-23,5945
2019-03-24,5758
2019-03-25,6367
2019-03-26,7197
2019-03-27,7225
2019-03-28,6624
2019-03-29,6338
2019-03-30,5544
2019-03-31,5939
2019-04-01,7420
2019-04-02,11522
2019-04-03,12913
2019-04-04,9567
2019-04-05,7965
2019-04-06,6749
2019-04-07,7021
2019-04-08,8391
2019-04-09,8961
2019-04-10,9237
2019-04-11,7712
2019-04-12,7126
2019-04-13,6119
2019-04-14,5690
2019-04-15,7552
2019-04-16,6701
2019-04-17,6851
2019-04-18,6781
2019-04-19,6576
2019-04-20,6704
2019-04-21,7333
2019-04-22,7119
2019-04-23,7308
2019-04-24,7607
2019-04-25,6725
2019-04-26,6605
2019-04-27,6103
2019-04-28,5969
2019-04-29,7697
2019-04-30,7640
2019-05-01,6840
2019-05-02,6765
2019-05-03,7752
2019-05-04,6402
2019-05-05,6051
2019-05-06,6763
2019-05-07,7061
2019-05-08,7925
2019-05-09,8245
2019-05-10,7188
2019-05-11,6391
2019-05-12,6764
2019-05-13,8156
2019-05-14,9631
2019-05-15,8660
2019-05-16,8431
2019-05-17,9118
2019-05-18,6122
2019-05-19,9209
2019-05-20,9868
2019-05-21,8417
2019-05-22,8120
2019-05-23,7271
2019-05-24,7261
2019-05-25,6326
2019-05-26,7727
2019-05-27,9984
2019-05-28,9980
2019-05-29,9912
2019-05-30,9698
2019-05-31,7414
2019-06-01,6577
2019-06-02,5882
2019-06-03,7141
2019-06-04,7092
2019-06-05,6449
2019-06-06,6127
2019-06-07,6624
2019-06-08,5708
2019-06-09,5501
2019-06-10,6488
2019-06-11,7161
2019-06-12,6678
2019-06-13,6676
2019-06-14,6439
2019-06-15,5828
2019-06-16,7737
2019-06-17,8035
2019-06-18,10467
2019-06-19,9334
2019-06-20,9125
2019-06-21,8218
2019-06-22,9812
2019-06-23,9826
2019-06-24,10293
2019-06-25,10276
2019-06-26,15112
2019-06-27,12583
2019-06-28,10734
2019-06-29,7347
2019-06-30,7186
2019-07-01,8219
2019-07-02,7824
2019-07-03,9708
2019-07-04,8027
2019-07-05,8001
2019-07-06,6842
2019-07-07,7005
2019-07-08,8459
2019-07-09,8849
2019-07-10,11471
2019-07-11,9634
2019-07-12,9376
2019-07-13,7256
2019-07-14,7652
2019-07-15,8051
2019-07-16,8385
2019-07-17,8419
2019-07-18,8451
2019-07-19,8558
2019-07-20,6321
